"","Souche","X1","X2","X3","X4","X6","X7","X14","X16","X19","X21","X24","X25","X26","X27","X29","X30","X31","X32","X34","X35","X38","X41","X43","X51","X52","X53","X54","X55","X56","X58","X61","X62","X63","X68","X70","X72","X73","X74","X77","X78","X79","X81","X82","X83","X84","X85","X86","X87","X89","X90","X102","X108","X110","X118","X122","X123","X127","X128","X137","X143","X164","X169","X170","X171","X172","X173"
"120","Nm",0,0,0,0,13252,81.5,200,0,0,0,0,0,0,689.5,1281,0,0,0,283,2888.5,0,0,0,0,374,0,205.5,0,0,0,209,0,0,0,0,0,0,0,0,0,0,3514,0,0,0,744,0,0,0,0,0,1653,0,0,0,0,1007,0,0,0,2590.5,0,0,0,0,0
"121","Nm",0,0,0,0,62534,187,0,0,0,0,0,0,0,2790,1261,0,0,0,234,14716.5,0,0,0,94.5,408,0,414,286.5,0,0,1436,0,105,0,169,0,785,0,0,0,0,22168,0,0,0,4586.5,789,0,323,0,0,29217,0,0,291,0,15825,0,116,0,3717.5,0,0,0,0,0
"122","Nm",0,0,0,0,47478,111,0,0,0,0,0,0,0,1955,1453,0,0,0,178,9322,0,0,0,0,708,0,618,284,0,0,873,0,102,0,18,0,587,0,0,0,0,10709,0,0,0,2036,411,0,0,0,0,14202,0,0,187,0,7048.5,0,0,0,3919,0,0,0,0,0
"123","Nm",0,0,0,0,31840.5,0,82.5,0,0,0,0,0,0,2109,1343,0,0,0,0,5980,0,0,0,0,667.5,0,673,283.5,0,0,1004,0,0,0,0,0,312.5,0,0,0,0,10437,0,0,0,2001,205,0,0,0,0,13887.5,0,0,56.5,0,7096.5,0,0,0,2853.5,0,0,0,0,0
"124","Nm",0,0,0,0,54661.5,84,95,0,0,0,0,0,0,2972,1806,0,0,0,13,8682,0,0,0,0,958,0,710,458,0,0,1283.5,0,88,0,75.5,0,569,0,0,0,0,15673,0,0,0,2848.5,407,0,32,0,0,3544,0,0,140,0,10234,0,0,0,4944.5,0,0,0,0,0
"125","Nm",0,0,2,8,42880,201,105,0,106,0,0,0,2,1556,1119,5,8,0,282,7251.5,3,2,2,110.5,633,0,466,291.5,0,0,700,0,191,0,111,5.5,491,0,0.5,0,7,8106.5,0,0,0,1688.5,388,0,112,0,3,11043,0,0,215,0,5328,0,92.5,0,2982.5,0,0,0,0,5
"126","Nm",4,0.5,12,0,26286,82.5,106,0,0,6,0,0,0,1696,1040.5,0,4,0,114,4584.5,0,0,0,112,599,1,527,292,0,0,788,2,109,0,102.5,0,293,0,0,3,5,7322,0,0,0,1562,283.5,1,94,15,0,10523,0,0,198,0,4987,0,102.5,0,2267,0,0,0,0,0
"127","Nm",0,5,2,0,51214,95,195,6,102,0,0,5,0,2212.5,1372,1,4,0,205,6290,7,0,2,100,856,0,615,442,6,0,898.5,2,201,0,96,0,486,0,0,2,1,10897,0,11,0,2097,368,0,100,0.5,0,2713.5,0,0,188.5,0,7265.5,0,107,0,3605,0,0,2,0,0
"128","Nm",0,0,0,0,65235,0,0,0,0,0,0,0,0,3106.5,1617.5,0,0,0,168,21862,0,0,0,195,472.5,0,590,204,0,0,1111.5,0,110,0,0,0,1184,0,0,0,0,41883,0,0,0,8245,1195,0,307.5,0,0,47508.5,0,0,389.5,3,21724.5,0,91,0,5084,0,0,0,0,0
"129","Nm",0,0,0,0,65235,0,0,0,0,0,0,0,0,4124,2198,0,0,0,207,30013.5,0,0,0,402.5,689,0,766,360,0,0,1824,0,304,0,109.5,0,1819.5,0,0,0,0,50398,0,0,0,9899,1934.5,0,487,0,0,65235,0,0,466,106.5,30761.5,0,103,0,5946,0,0,0,0,0
"130","Nm",0,0,0,0,65235,0,0,0,0,0,0,0,0,3502,1978,0,0,0,92,15867,0,0,0,97,993,0,818,287.5,0,0,1318,0,202,0,66,0,1088.5,0,0,0,0,32327,0,0,0,6018.5,821,0,194,0,0,11228,0,0,230,1,14876,0,12,0,5562,0,0,0,0,0
"131","Nm",0,0,0,0,65235,0,0,0,0,0,0,0,0,4164,2408,0,0,0,1,20200,0,0,0,190.5,1053.5,0,1071,390,0,0,1703,0,288,0,76,0,1178,0,0,0,0,34956,0,0,0,6522,1188,0,284.5,0,0,30413.5,0,0,282.5,0,14676.5,0,101.5,0,6416,0,0,0,0,0
"132","Nm",0,0,0,0,65235,0,0,0,0,0,0,0,0,4433.5,2678.5,0,0,0,176,19977,0,0,0,279,1324,0,1216,480.5,0,0,1761.5,0,300,0,105.5,0,1460,0,0,0,0,36852,0,0,0,7706.5,1239,0,303.5,0,0,14441,0,0,453,96,18550.5,0,113,0,7616,0,0,0,0,0
"133","Nm",0,0,0,0,65235,0,0,0,6,0,0,0,0,5189,2965.5,0,0,0,204,24713,0,0,0,200,1299,0,1392,597,0,0,2340,0,376,0,180.5,0,1607,0,86.5,0,0,39465,0,0,0,7713,1411.5,0,372.5,0,0,34615,0,0,473,104,17983.5,0,121.5,0,7825,0,0,0,0,0
"134","Nm",0,0,0,0,65235,0,0,0,4,0,0,0,0,4737,2719,0,0,0,191,22874,0,0,0,199,1146,0,1188,586,0,0,2024,0,291,0,131,0,1388,0,73,0,0,36590,0,0,0,7165,1404,0,293.5,0,0,32735,0,0,529.5,82,16370,0,103,0,7298,0,0,0,0,0
"135","Pa",0,0,0,0,896,0,0,0,0,0,0,0,0,0,0,0,0,0,133,718,2553,0,0,0,0,0,118,0,0,0,347.5,0,2548,0,1494,0,7031.5,1618,0,14149,0,2135,1794.5,0,0,4369.5,14984,0,0,253,0,22943,598,0,632.5,6.5,5541,0,184,4242,0,0,3582,0,0,0
"136","Pa",0,0,0,0,1002,0,0,0,0,0,0,0,0,0,0,0,0,667,2.5,746.5,1087,0,0,0,0,0,190,0,0,0,301.5,0,2683,0,1454,0,5119,822.5,0,12693,0,5413,1293,0,0,4773,10007,0,0,273,0,0,228,0,348,3,7025,0,198,2864,0,6.5,2584.5,0,0,0
"137","Pa",0,0,0,0,1478,0,0,0,0,0,0,0,0,0,0,0,0,0,180,879,3461,0,0,0,0,0,199,0,0,0,303.5,0,1737,0,1441,0,5040,1350.5,0,11120.5,0,1583,1013.5,0,0,3782,11021,0,0,133,0,16257,500,0,308.5,110,4304.5,0,298,2127.5,0,0,3191,0,0,0
"138","Pa",0,0,0,0,663,0,0,0,0,0,0,0,0,0,0,0,0,535,0,484,3142,0,0,0,113.5,0,395,0,0,0,498,0,3222,0,1381,0,5807,910,0,10866.5,0,4202,1025,0,0,5100,9817,0,0,105,0,0,103,0,304,0,6242.5,0,158,5363,0,0,3739,0,0,0
"139","Pa",0,0,4626,0,715,0,0,0,0,0,0,0,0,0,0,0,0,0,101.5,458,1578,0,0,113,384.5,0,587,0,0,108.5,1190,871.5,2789.5,4534.5,1665,843,11148,2216,0,10030.5,19744,24575,29438.5,10356,8943.5,5542,9156,18014.5,47942,25625,0,28491,1188.5,0,545,4507.5,20509,0,334.5,1611,0,404.5,2765.5,0,0,0
"140","Pa",0,0,0,0,551,0,0,0,0,0,0,0,0,0,0,0,0,0,99.5,572,2386,0,0,0,105.5,0,390,0,0,0,499,0,2604,0,964.5,0,5478.5,1184,0,10001,0,1602,774,0,0,3435,10104,0,0,78,0,15102,417,0,432,0,4604,0,330,3050,0,0,3757,0,0,0
"141","Pa",0,0,0,0,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201.5,4402,0,0,0,487,0,860,0,0,0,0,0,3036,0,718,0,0,0,0,8638,0,855,403,0,0,2299,5467.5,0,0,0,0,566,169.5,0,0,0,2870,0,607,3210,0,0,4611.5,0,0,0
"142","Pa",0,0,0,0,1008,0,0,0,0,0,0,0,0,0,0,0,0,598.5,100,445.5,993.5,0,0,0,120,0,112,0,0,0,270.5,0,3200,0,1052,0,6997,1171.5,0,8221,702.5,11464,987,0,700,2538,16214,0,0,261,0,38528,588,0,515,0,10740,0,203,1410,0,505,2553.5,0,0,0
"143","Pa",0,0,0,0,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,913,0,0,0,96,0,288,0,0,0,95,0,1097.5,0,289,0,1703,364,0,3466,0,410,95,0,0,572,1877,0,0,0,0,4907,10,0,0,0,1036.5,0,125,991.5,0,0,1449,0,0,0
"144","Pa",0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,391,0,0,0,7.5,0,100,0,0,0,0,0,991,0,214,0,1593.5,189,0,2715,0,102,4,0,0,599,2311,0,0,0,0,3902,0,0,59,0,733,0,0,607,0,0,1429,0,0,0
"145","Pa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.5,0,474.5,0,0,0,0,0,0,0,0,0,0,0,852,0,191,0,1438,95.5,0,2548,0,10160,123.5,0,0,1201.5,1993.5,0,0,1046,0,15057,0,0,0,0,980.5,0,601.5,405.5,0,0,1037,0,0,0
