"","Souche","X1","X2","X3","X4","X6","X7","X14","X16","X19","X21","X24","X25","X26","X27","X29","X30","X31","X32","X34","X35","X38","X41","X43","X51","X52","X53","X54","X55","X56","X58","X61","X62","X63","X68","X70","X72","X73","X74","X77","X78","X79","X81","X82","X83","X84","X85","X86","X87","X89","X90","X102","X108","X110","X118","X122","X123","X127","X128","X137","X143","X164","X169","X170","X171","X172","X173"
"223","Spn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,10801,0,0,0,8,0,0,388,0,0,0,0,0,0,218,0,0,0,0,9303,198,0,0,0,39798.5,0,0,0,1967,1430,0,0,0,9,54533,434,0,81,0,8674,0,0,0,0,0,5,0,0,0
"224","Spn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,10421,0,0,0,0,0,0,203,0,0,0,0,0,0,106,0,0,0,0,9184,0,0,0,0,33991,0,0,0,1307,696,0,0,0,0,40125.5,120.5,0,0,0,3127,0,0,0,0,0,0,0,0,0
"225","Spn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,7654.5,0,0,0,0,0,0,224.5,0,0,0,0,0,0,384.5,0,0,0,0,7419.5,0,0,0,0,37511,0,0,0,1901,1125,0,0,0,0,7311,144,0,0,0,5211,0,0,0,0,0,0,0,0,0
"226","Spn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283,7360.5,0,0,0,0,0,0,290,0,0,0,0,0,0,181,0,0,0,0,9019,0,0,0,0,30503,0,0,0,1799.5,292,0,0,0,0,9324,122,0,0,0,677,0,0,0,0,0,0,0,0,0
"227","Spn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6595.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6036,0,0,0,0,29129,0,0,0,1887,1196,0,0,0,0,14850.5,194.5,0,68,0,804,0,0,0,0,0,0,0,0,0
"228","Spn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.5,6143,0,0,0,0,0,0,292,0,0,0,0,0,0,0,0,0,0,0,7678,0,0,0,0,27248,0,0,0,1836.5,910,0,0,0,0,46406.5,187.5,0,1,0,3754,0,0,0,0,0,0,0,0,0
"229","Spn",0,0,0,0,86,212.5,1203,0,0,0,0,0,0,0,0,298,411,3914,0,0,0,568.5,0,0,1136.5,0,536,0,0,0,66,90,0,0,0,0,2968,199.5,0,0,212,15673,0,0,0,1517.5,996,0,0,89,482.5,25052,1472.5,0,0,0,790,0,6,0,0,98,406.5,0,0,0
"230","Spn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,2532,0,0,0,0,0,0,166,0,0,0,0,0,0,0,0,0,0,0,2826,0,0,0,0,8721,0,0,0,12,101,0,0,0,0,11153,0,0,0,0,1060.5,0,0,0,0,0,0,0,0,0
"231","Spn",0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,786,779.5,1752,0,0,0,0,0,0,676,0,0,0,0,0,0,0,0,0,0,0,997.5,0,0,0,0,5774,0,0,0,185,925,0,0,0,0,7433.5,0,0,0,0,1221,0,0,0,0,0,0,0,0,0
"232","Spn",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,313.5,1451,0,0,0,0,0,0,217,0,0,0,0,0,0,94.5,0,0,0,0,9564,94,0,0,0,22341,0,0,0,1514,1682,0,0,0,0,6145,0,0,9,0,565,0,0,0,0,0,0,0,0,0
"233","Spn",0,0,0,0,79,0,304,0,0,0,0,0,0,0,0,0,94.5,563,0,0,0,382,0,0,1248.5,0,1053,0,0,0,248,0,0,0,0,0,1169,7,0,0,108,11646.5,0,0,0,1673,462,0,0,0,0,18545,119,0,0,0,630,0,0,0,0,0,380,0,0,0
